question,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
"63. D’après son étymologie, le tentacule de la pieuvre est un organe qui lui sert à:",A. marcher,B. palper,C. piquer,D. s’attacher,,,,,,"63. b. Le nom tentacule vient du latin tentare, qui signifie «palper, tâter».",
65. Laquelle de ces confiseries doit son nom à un nom propre?,A. macaron,B. nougat,C. praline,,,,,,,"65. c. La praline, amande enrobée de sucre coloré cuit, aurait été inventée",
69. Les premières attestations du nom biberon datent:,A. du XIVe siècle,B. du XVIIe siècle,C. du XIXe siècle,,,,,,,69. a. Le nom biberon est attesté dans un texte du début du XIVe siècle. Il,
72. La guillotine doit son nom à Joseph Ignace Guillotin. Quel était le métier de ce dernier?,A. bourreau,B. juge,C. médecin,,,,,,,72. c. Joseph Ignace Guillotin (1738–1814) était médecin. Il demanda à ce que la décapitation soit le seul mode d’exécution de la peine capitale afin que les condamnés souffrent le moins possible.,
"75. Parmi ces noms, lequel ne vient pas d’un nom de marque déposée?",A. aspirine,B. brumisateur,C. pastis,D. rustine,,,,,,75. c. Pastis n’est pas le nom d’une marque déposée (contrairement à,
"77. Les premières attestations du nom sauna, emprunté au finnois, datent:",A. du XVIIe siècle,B. du XIXe siècle,C. du XXe siècle,,,,,,,77. c. Les premières attestations de sauna datent de la première moitié du,
"80. Mécène, à qui l’on doit le nom mécène, était:","A. le père des neuf muses, à qui il donna tout ce dont elles avaient besoin pour développer chacune son art",B. un demi-dieu qui voua sa vie aux arts,C. un riche Romain qui consacra sa fortune au développement des arts,,,,,,,80. c. Mécène (70 av. J.-C. – 8 av. J.-C.) était un ministre de l’empereur,
82. Lequel de ces noms de couleur ne vient pas du latin?,A. bleu,B. jaune,C. rouge,D. vert,,,,,,"82. a. Bleu vient du francique blao, alors que jaune vient de galbinus, rouge de rubeus et vert de viridis.",
84. À quelle langue le nom hamster est-il un emprunt?,A. l’allemand,B. l’anglais,C. le néerlandais,,,,,,,"84. a. C’est le naturaliste français Georges Louis Leclerc, comte de",
"85. En 1920, le Tchèque Karel Čapek a utilisé le mot robota pour désigner les","ouvriers artificiels dans sa pièce de théâtre de science-fiction R.U.R., et de",,,,,,,,,85. Travail forcé.,
"86. Parmi ces noms de fromage, lequel ne doit pas son nom au nom du village dont il est la spécialité?",A. banon,B. morbier,C. reblochon,D. roquefort,,,,,,"86. c. Il n’y a ni ville ni village portant le nom de Reblochon. Reblochon est un mot savoyard dérivé du verbe reblocher qui signifie «traire (blocher) une deuxième fois (re-)», ce fromage étant à l’origine",
88. À quel moment le français a-t-il emprunté le nom latin prospectus?,A. au XVIIIe siècle,B. au XIXe siècle,C. au XXe siècle,,,,,,,88. a. Le nom prospectus a été emprunté au début du XVIIIe siècle pour,
90. À combien évalue-t-on environ le nombre de mots d’origine gauloise qui existent dans le français actuel?,A. une trentaine,B. environ 150,C. un peu plus de 1000,,,,,,,"90. b. Le français compte environ 150 mots d’origine gauloise. La plupart sont des mots très courants: caillou, boue, brin, mouton...",
94. Quel était le sens premier du nom calepin?,A. agenda,B. dictionnaire,C. livre d’images,,,,,,,"94. a. Au XVIe siècle, calepin était synonyme de dictionnaire. Ce mot",
"100. Parmi ces noms, un seul n’est pas issu d’un nom de personne. Lequel?",A. olibrius,B. silhouette,C. avanie,D. diesel,,,,,,"100. c. Avanie n’est pas le nom d’une personne; ce nom vient de l’italien avania, «humiliation».",
"101. D’un point de vue étymologique, de quel mot se rapproche l’expression à gogo?",A. gober,B. goguette,C. gomme,D. gore,,,,,,101. b. Gogo est le redoublement du radical de l’ancien nom gogue qui,
102. Lequel de ces mots ne vient pas du latin albus signifiant «blanc»?,A. albâtre,B. albinos,C. album,D. aube,,,,,,"102. a. L’albâtre, même s’il peut être blanc, tire son nom du grec alabastros.",
103. D’où vient l’expression battre en brèche?,A. du sport,B. de l’art militaire,C. de la ferronnerie,D. de la médecine,,,,,,"103. b. Battre en brèche, au sens propre, c’est faire une ouverture dans une enceinte fortifiée. 104. a. 3",
"110. Parmi les mots suivants, lequel n’a jamais existé en latin?",A. visa,B. agenda,C. crocus,D. motus,,,,,,110. d. Motus est une latinisation plaisante du nom mot.,
"114. Ces mots ont été empruntés à l’arabe par l’intermédiaire de l’italien, sauf",A. aubergine,B. jupe,C. coton,D. tarif,,,,,,"114. a. Aubergine vient aussi de l’arabe, mais par l’intermédiaire du catalan.",
"115. Ces noms communs sont issus de noms de marque, sauf un. Lequel?",A. yoyo,B. pédalo,C. klaxon,D. voiturette,,,,,, 115. d. voiturette,
"116. Ces mots ont été empruntés à l’espagnol, sauf un. Lequel?",A. calebasse,B. canari,C. cannibale,D. capitaine,,,,,,"116. d. Capitaine vient du latin capitaneus, lui-même tiré de caput qui signifie «tête».",
"118. Ces mots viennent de l’arabe, sauf un. Lequel?",A. alcool,B. cafard,C. herbe,D. goudron,,,,,,118. c. Herbe vient du latin herba.,
2. Trouver le genre de ces noms désignant des aromates et chassez l’intrus.,A. coriandre,B. genièvre,C. girofle,,,,,,,2. a. Genièvre et girofle sont des noms masculins alors que coriandre est un nom féminin.,
5. Qu’appelle-t-on un chinois en cuisine?,A. une poêle à fond très épais,B. un couteau à large lame,C. une passoire,,,,,,,"5. c. Un chinois est une passoire conique à très petits trous, dont la forme rappelle le chapeau chinois, d’où son nom.",
"7. Ces fromages tirent leur nom de la localité dont ils sont la spécialité, sauf un. Lequel?
",A. cheddar,B. camembert,D. faisselle,,,,,,,7. d. La faisselle,
11. Le graves est un vin qui doit son nom:,"A. à la profondeur de sa robe, qui lui donne un aspect grave","B.  à la ville de Graves, dont il est la spécialité",C. au sol de graviers sur lequel poussent les vignes dont il est issu,,,,,,,11. c. Les graves sont des terrains formés de galets roulés (graviers sans,
14. Trouvez le genre de ces cépages et chassez l’intrus.,A. grenache,B. syrah,C. gamay,,,,,,,"14. b. Grenache et gamay sont des noms masculins, alors que syrah est un nom féminin.",
"16. Parmi ces noms désignant une préparation culinaire, lequel n’est pas issu d’un nom propre?",A. béchamel,B. risotto,C. sandwich,D. tatin,,,,,,16. b. Risotto est un mot italien formé sur le mot riz (riso en italien).,
"19. Parmi ces verbes, lequel est employé dans le sens de «faire revenir à la poêle pour colorer»?",A. blondir,B. brunir,C. roussir,,,,,,,"19. a. Faire blondir des oignons, des échalotes, etc., consiste à les faire revenir à la poêle dans de la matière grasse jusqu’à ce qu’ils prennent",
22. Le nom carpaccio vient d’un nom propre. Ce nom propre est celui:,A. d’un lieu,B. d’une personne,,,,,,,,22. b. Vittore Carpaccio est un peintre vénitien de la fin du XVe siècle. Le rouge sombre des lamelles de bœuf cru rappelle les couleurs fétiches du peintre.,
25. Quel nom donne-t-on au jeune apprenti cuisinier?,A. mitron,B. mirliton,C. marmiton,,,,,,,25. c. Marmiton est le nom plaisant donné aux apprentis cuisiniers. Le,
"28. Qui était Félix Kir, qui donna son nom à l’apéritif à base de vin blanc et de liqueur de cassis?",A. Un avocat,B. Un homme d’Église,C. Un médecin,D. Un pharmacien,,,,,,28. b. Le chanoine Félix Kir fut maire de la ville française de Dijon de,
33. Trouvez le point commun de ces noms et chassez l’intrus.,A. bortsch,B. chaudrée,C. cassoulet,D. won ton,,,,,,"33. c. Le bortsch, la chaudrée et la won ton sont des soupes, alors que le cassoulet est un ragoût de viande d’oie, de canard, de mouton ou de porc avec des haricots blancs.",
37. Retrouvez l’origine de ces noms de mets et chassez l’intrus.,A. minestrone,B. osso buco,C. tortilla,,,,,,,"37. c. Tortilla (omelette épaisse aux pommes de terre ou crêpe de farine de maïs) est un nom emprunté à l’espagnol, alors que osso buco (jarret de veau cuit à l’étouffée et accompagné de riz) et minestrone (soupe de légumes avec du riz ou des pâtes) sont des noms empruntés à l’italien.",
39. Quelle est l’orthographe correcte du nom de cette plante potagère?,A. artichaud,B. artichaut,C. artichaux,,,,,,,39. b. Artichaut est sans rapport avec l’adjectif chaud ou le nom chaux.,
40. Les pêches Melba doivent leur nom:,A. au nom de la ville où fut créé ce dessert,B. au nom du pâtissier qui a créé ce dessert,C. au nom de la cantatrice pour qui fut créé ce dessert,,,,,,,"40. c. C’est Auguste Escoffier qui, à la fin du XIXe siècle, créa le dessert alliant une pêche, de la crème glacée et de la crème fouettée, qu’il",
43. Que fait-on lorsqu’on élève un vin?,A. On procède à l’assemblage de plusieurs vins de même origine pour l’élaboration d’une cuvée.,B. On le laisse séjourner en fût ou en cuve.,C. On le met en bouteilles.,,,,,,,43. b. L’élevage est la période pendant laquelle le vin séjourne en cuve ou en fût avant sa mise en bouteilles.,
45. Qu’appelle-t-on un cul-de-poule en cuisine?,A. une cuillère à sauce,B. un pot à épices,C. un saladier à fond arrondi,,,,,,,45. c. Le fond arrondi du saladier évoque l’arrière-train de la poule. Ce saladier est particulièrement utilisé pour monter des blancs en neige ou mélanger toute autre préparation.,
52. Que fait-on lorsqu’on triture un ingrédient en cuisine?,A. On le mélange.,B. On le pétrit.,C. On le pile.,,,,,,,"52. c. Triturer, en cuisine, est synonyme de piler. La trituration se fait au moyen d’un mortier et d’un pilon.",
53. Ces noms d’ingrédients nous viennent de l’arabe par l’intermédiaire de,A. abricot,B. café,C. orange,D. sucre,,,,,,"53. a. Abricot est un emprunt à l’espagnol albaricoque ou au portugais albricoque, eux-mêmes empruntés à l’arabe al-barqūq.",
56. Le terme gastronomie a été popularisé par:,A. Anthelme Brillat-Savarin,B. Auguste Escoffier,C. Antonin Carême,,,,,,,"56. a. Le succès de l’ouvrage de Brillat-Savarin, La Physiologie du goût, ou méditations de gastronomie transcendante, publié en 1825, contribua à rendre courants les termes gastronomie, gastronome et gastronomique.",
"59. Parmi ces verbes, lequel est employé pour dire «faire épaissir en laissant évaporer»?",A. abaisser,B. compacter,C. réduire,,,,,,,59. c. Réduire une sauce permet de concentrer ses arômes et ses saveurs.,
61. Quel verbe utilise-t-on en cuisine dans le sens de «plonger dans l’eau bouillante jusqu’à la reprise de l’ébullition»?,A. blanchir,B. blondir,C. brunir,,,,,,,61. a.  Blanchir,
63. Quelle est l’orthographe correcte du nom désignant un fond obtenu par réduction d’un bouillon?,A. fumé,B. fumée,C. fumais,D. fumet,,,,,,63. d. Le fumet de poisson est obtenu en faisant cuire des arêtes dans de,
70. Lesquels de ces noms sont mal orthographiés?,A. bettrave,B. broccoli,C. carote,,,,,,,"70. Ils sont tous mal orthographiés. Il faut écrire betterave, brocoli, carotte, échalote.",
1. L’expression manu militari vient:,A. de l’anglais,B. de l’espagnol,C. de l’italien,D. du latin,,,,,,1. d. L’expression latine signifie littéralement: «par la main militaire».,
4. Quel auteur est à l’origine de l’expression les moutons de Panurge?,A. Molière,B. François Rabelais,C. Voltaire,,,,,,,4. b. Panurge est un personnage de François Rabelais (v. 1483–1553) qui,
"7. Parmi les expressions suivantes, lesquelles font allusion à un personnage de la mythologie?",A. être dans les bras de Morphée,B. être comme l’âne de Buridan,"C. boîte de Pandore
",D. violon d’Ingres ,,,,,,7. a. être dans les bras de Morphée  et c. boîte de Pandore,
10. Quel mot peut compléter l’expression prendre le … aux dents?,A. mord,B. mors,C. mort,,,,,,,"10. b. Au sens propre, l’expression prendre le mors aux dents s’emploie à propos d’un cheval sur lequel le mors n’a plus d’effet: s’il s’emballe,",
"14. Parmi ces expressions, lesquelles contiennent un nom propre de lieu?",A. au diable Vauvert,B. le tonneau des Danaïdes,C. à Saint-Glin-glin-des-Meumeu,D. un coup de Jarnac,,,,,,14. a. au diable Vauvert et c. à Saint-Glin-glin-des-Meumeu,
"19. Qui était Dracon, dont on retrouve le nom dans l’expression loi draconienne?",A. un dieu de la mythologie,B. un législateur,C. un tyran,D. aucune réponse n’est valable: draconien ne renvoie pas à un personnage,,,,,,19. b. Dracon était un législateur athénien qui vécut au VIIe siècle av. J.-,
"21. Parmi ces expressions, laquelle n’est pas synonyme des trois autres?",A. passer de vie à trépas,B. passer l’arme à gauche,C. sortir les pieds devant,D. prendre ses jambes à son cou,,,,,,"21. d. Les trois autres expressions signifient «mourir», mais prendre ses jambes à son cou signifie «s’enfuir».",
24. De quel domaine est tirée l’expression être dans le trente-sixième dessous?,A. de l’architecture,B. de la couture,C. du sport,D. du théâtre,,,,,,"24. d. Au théâtre, les dessous sont les trois espaces situés sous la scène destinés à la manœuvre et au rangement des accessoires et des",
28. Quelle est la bonne graphie du nom qui complète l’expression tomber de,A. Charibde,B. Charide,C. Charybde,D. Charyde,,,,,,28. c. L’expression tomber de Charybde en Scylla signifie «éviter un,
34. Que signifie l’expression boire le calice/la coupe jusqu’à la lie?,A. endurer des souffrances jusqu’au bout,B. s’enivrer,C. profiter pleinement des plaisirs de la vie,,,,,,,34. a. L’expression est une allusion à la prière de Jésus Christ au mont des,
36. De quelle ville parle-t-on lorsqu’on parle de la ville aux cent clochers?,A. Poitiers,B. Montréal,C. Rouen,D. Toutes ces réponses,,,,,,36. d. La ville aux cent clochers est une expression employée également,
"40. Lorsqu’on s’enfuit à toutes jambes, on prend la poudre:",A. d’escampette,B. de riz,C. de perlimpinpin,,,,,,,"40. a. Le nom escampette, qu’on ne trouve plus aujourd’hui que dans cette expression, est un dérivé de l’ancien verbe escamper, qui signifiait «s’enfuir».",
48. À quel auteur doit-on l’expression proverbiale: l’enfer est pavé de bonnes intentions?,A. Saint François de Sales,B. Rabelais,C. Jean-Paul Sartre,D. aucune de ces réponses: on ne connaît pas l’auteur de cette citation,,,,,,48. d. L’expression était déjà utilisée chez les Romains. Saint François de,
"50. Quel mot peut compléter l’expression «… et sauf», synonyme de indemne?",A. sain,B. saint,C. sein,D. seing,,,,,,50. a. On peut s’assurer qu’on a bien affaire à l’adjectif sain en mettant l’expression au féminin: saine et sauve.,
52. Avec quel mot doit-on compléter l’expression «… dit en passant»?,A. soi,B. sois,C. soit,D. soie,,,,,,52. c. C’est le verbe être à la 3e personne du singulier du présent du,
53. Si cela passe comme une lettre à la poste:,A. cela disparaît,B. cela passe facilement,C. cela ne passe pas,,,,,,,"53. b. C’est une métaphore de l’enveloppe qui, parce qu’elle est fine, se glisse facilement dans une boîte aux lettres.",
60. Comment doit-on écrire l’expression suivante?,A. aller à vau-l’eau,B. aller à vaux-l’eau,C. aller à veau-l’eau,D. aller à Volos,,,,,,"60. a. Dans cette expression qui signifie «se déliter, péricliter», vau est",
4. Comment écrit-on le premier mot du proverbe … beau mentir qui vient de loin?,A. A,B. À,,,,,,,,4. a. A, Il s’agit du verbe avoir; le proverbe signifie qu’il est facile de mentir quand ce qu’on dit ne peut pas être vérifié.
"6. Le proverbe À vaincre sans péril, on triomphe sans gloire est une citation de:",A. Corneille,B. Hugo,C. Racine,,,,,,,"6. a. Il s’agit d’une réplique du Comte s’adressant à Don Rodrigue,",
8. Quelle est la nature grammaticale de bien dans le proverbe Bien mal acquis ne profite jamais?,A. adjectif,B. adverbe,C. nom,,,,,,,8. c. Bien est ici un nom masculin et a le sens de «un bien qui a été acquis de façon malhonnête n’est jamais vraiment avantageux».,
"11. D’après le proverbe, à qui la chance sourit-elle?",A. aux audacieux,B. aux courageux,C. aux fortunés,,,,,,,11. a. Seuls ceux qui ont l’audace d’entreprendre quelque chose de risqué peuvent espérer réussir.,
20. Quel proverbe incite à ne pas tomber dans la procrastination?,A. C’est en forgeant qu’on devient forgeron.,B. Chat échaudé craint l’eau froide.,C. Il ne faut pas remettre au lendemain ce qu’on peut faire le jour même.,,,,,,,20. c. Il ne faut pas remettre au lendemain ce qu’on peut faire le jour même.,
21. Compléter le proverbe suivant par le mot qui convient: Les cimetières sont remplis de gens…,A. qui étaient bien portants,B. qui n’ont plus besoin d’argent,C. qui se croyaient indispensables,,,,,,,21. c. qui se croyaient indispensables,
25. Comment écrit-on le deuxième mot du proverbe Un … vaut mieux que deux tu l’auras?,A. tien,B. tiens,C. tient,,,,,,,25. b. Il s’agit du verbe tenir à la 2e personne du singulier du présent de l’indicatif.,
"32. D’après le proverbe, qu’est-ce qui constitue la politesse des rois?",A. l’exactitude,B. la galanterie,C. le beau langage,,,,,,,32. a. On dit que «L’exactitude est la politesse des rois» était la phrase,
"34. Que signifie le proverbe Quand le vin est tiré, il faut le boire?","A. Quand on s’est engagé dans une affaire, on ne peut plus reculer.",B. Il faut savoir assumer les conséquences de ses actes.,,,,,,,,"34. a. Quand le vin a été tiré du tonneau, il n’est plus possible de le remettre dans le tonneau: il faut donc aller au bout de ce qu’on a entrepris.",
"36. D’après le proverbe, quelle est la mère de tous les vices?",A. la gourmandise,B. la jalousie,C. l’oisiveté,,,,,,,"36. c. L’oisiveté est la mère de tous les vices rappelle que lorsqu’on est inactif, on est sujet à des tentations, à commettre des actes répréhensibles.",
"38. Quelle fable de La Fontaine est à l’origine de la maxime En toute chose, il faut considérer la fin?",A. La Grenouille qui se veut faire aussi grosse que le bœuf,B. Le Loup et la Cigogne,C. Le Renard et le Bouc,,,,,,,"38. c. Le bouc a accepté, sans réfléchir, d’aider le renard à sortir le premier du puits dans lequel ils étaient descendus boire et n’a pas pensé que lui resterait seul au fond du puits.",
"39. D’après sa construction, quel est le sens du proverbe Tout est bien qui finit bien?",A. Tout ce qui est bien finit bien.,B. Tout ce qui finit bien est bien.,,,,,,,,39. b. La proposition relative «qui finit bien» se rattache au pronom tout,
47. L’humoriste français Coluche a déformé le proverbe L’argent ne fait,"A. L’argent ne fait pas le bonheur, mais il y contribue.",B. L’argent ne fait pas le bonheur des pauvres.,,,,,,,,"47. b. À «L’argent ne fait pas le bonheur des pauvres», Coluche ajoutait:",
"48. Dans le proverbe Advienne que pourra, le verbe advenir est au",A. impératif,B. indicatif,C. subjonctif,,,,,,,"48. c. Le verbe advenir est au présent du subjonctif, mode qu’on utilise à la 3e personne, dans ce cas-ci en lieu et place de l’impératif, qui n’existe qu’à la 2e personne du singulier et du pluriel et à la 1re personne du pluriel.",
49. Que signifie le dicton Petite pluie abat grand vent?,A. Un petit événement peut provoquer de grands désastres.,B. Un petit rien peut venir à bout d’une grande colère.,,,,,,,,"49. b. Il ne faut pas se laisser impressionner par un emportement excessif, car souvent, il suffit de peu pour calmer le jeu.",
"50. Parmi ces termes, lesquels désignent des sortes de proverbes?",A. aphérèse,B. aphorisme,C. apocope,D. apophtegme,,,,,,"50. b. et d. L’aphorisme est une phrase résumant une théorie à valeur générale, l’apophtegme est une citation d’un auteur ayant une valeur",
"63. À quel auteur latin Francis Bacon, Thomas Hobbes, Sigmund Freud,",A. Cicéron,B. Plaute,C. Virgile,,,,,,,"63. b. Cette citation figure dans la comédie de Plaute (254–184 av. J.-C.),",
66. À quelle activité le proverbe Il ne faut jamais jeter le manche après la cognée fait-il allusion?,A. celle du boxeur,B. celle du bûcheron,C. celle du cuisinier,,,,,,,"66. b. Ce proverbe fait allusion à une vieille histoire selon laquelle un bûcheron, après avoir perdu la partie tranchante de sa hache, jeta",
"68. Avec quel mot doit-on compléter le proverbe Chose promise, chose…?",A. du,B. dû,C. due,D. dûe,,,,,,"68. c. Le proverbe doit être complété avec le participe passé du verbe devoir au féminin singulier, qui s’écrit due, sans accent circonflexe.",
